,Close_ARIMA
2023-05-27,26579.79666320697
2023-05-28,26649.24171758049
2023-05-29,26705.542021838617
2023-05-30,26705.59549059136
2023-05-31,26745.041209127623
2023-06-01,26777.10546011121
2023-06-02,26801.645453392568
2023-06-03,26833.19099943963
2023-06-04,26862.6585785482
2023-06-05,26891.268759550454
2023-06-06,26921.059072223874
2023-06-07,26950.372726473193
2023-06-08,26979.621483258255
2023-06-09,27009.058163812504
2023-06-10,27038.39682629663
2023-06-11,27067.73904722603
2023-06-12,27097.109293152826
2023-06-13,27126.460835250877
2023-06-14,27155.81547510855
2023-06-15,27185.173943256053
2023-06-16,27214.529050129564
2023-06-17,27243.885086669583
2023-06-18,27273.241576896377
2023-06-19,27302.597495108723
2023-06-20,27331.953632596153
2023-06-21,27361.30980892921
2023-06-22,27390.665893164307
2023-06-23,27420.022023262656
2023-06-24,27449.378152982525
2023-06-25,27478.734268781125
2023-06-26,27508.09039344189
2023-06-27,27537.446516833268
2023-06-28,27566.80263828612
2023-06-29,27596.15876134864
2023-06-30,27625.51488399844
2023-07-01,27654.87100641057
2023-07-02,27684.227129099418
2023-07-03,27713.583251687804
2023-07-04,27742.93937425387
2023-07-05,27772.295496864972
2023-07-06,27801.651619454675
2023-07-07,27831.00774204392
2023-07-08,27860.363864640058
2023-07-09,27889.719987232005
2023-07-10,27919.076109824455
2023-07-11,27948.432232417887
2023-07-12,27977.788355010547
2023-07-13,28007.14447760339
2023-07-14,28036.500600196356
2023-07-15,28065.856722789187
2023-07-16,28095.212845382066
2023-07-17,28124.568967974956
2023-07-18,28153.925090567824
2023-07-19,28183.281213160702
2023-07-20,28212.63733575358
2023-07-21,28241.993458346456
2023-07-22,28271.349580939335
2023-07-23,28300.70570353221
2023-07-24,28330.061826125086
2023-07-25,28359.41794871796
2023-07-26,28388.774071310836
2023-07-27,28418.13019390371
2023-07-28,28447.486316496586
2023-07-29,28476.84243908946
2023-07-30,28506.198561682337
2023-07-31,28535.554684275212
2023-08-01,28564.910806868087
2023-08-02,28594.266929460962
2023-08-03,28623.623052053837
2023-08-04,28652.979174646713
2023-08-05,28682.335297239588
2023-08-06,28711.691419832463
2023-08-07,28741.047542425338
2023-08-08,28770.403665018213
2023-08-09,28799.75978761109
2023-08-10,28829.115910203964
2023-08-11,28858.47203279684
2023-08-12,28887.828155389714
2023-08-13,28917.18427798259
2023-08-14,28946.540400575464
2023-08-15,28975.89652316834
2023-08-16,29005.252645761215
2023-08-17,29034.60876835409
2023-08-18,29063.964890946965
2023-08-19,29093.32101353984
2023-08-20,29122.677136132716
2023-08-21,29152.03325872559
2023-08-22,29181.389381318466
2023-08-23,29210.74550391134
2023-08-24,29240.101626504216
2023-08-25,29269.45774909709
2023-08-26,29298.813871689967
2023-08-27,29328.16999428284
2023-08-28,29357.526116875717
2023-08-29,29386.882239468592
2023-08-30,29416.238362061467
2023-08-31,29445.594484654343
2023-09-01,29474.950607247218
2023-09-02,29504.306729840093
2023-09-03,29533.662852432968
2023-09-04,29563.018975025843
2023-09-05,29592.37509761872
2023-09-06,29621.731220211594
2023-09-07,29651.08734280447
2023-09-08,29680.443465397344
2023-09-09,29709.79958799022
2023-09-10,29739.155710583094
2023-09-11,29768.51183317597
2023-09-12,29797.867955768845
2023-09-13,29827.22407836172
2023-09-14,29856.580200954595
2023-09-15,29885.93632354747
2023-09-16,29915.292446140345
2023-09-17,29944.64856873322
2023-09-18,29974.004691326096
2023-09-19,30003.36081391897
2023-09-20,30032.716936511846
2023-09-21,30062.07305910472
2023-09-22,30091.429181697597
2023-09-23,30120.78530429047
2023-09-24,30150.141426883347
2023-09-25,30179.497549476222
2023-09-26,30208.853672069097
2023-09-27,30238.209794661972
2023-09-28,30267.565917254848
2023-09-29,30296.922039847723
2023-09-30,30326.278162440598
2023-10-01,30355.634285033473
2023-10-02,30384.99040762635
2023-10-03,30414.346530219223
2023-10-04,30443.7026528121
2023-10-05,30473.058775404974
2023-10-06,30502.41489799785
2023-10-07,30531.771020590724
2023-10-08,30561.1271431836
2023-10-09,30590.483265776475
2023-10-10,30619.83938836935
2023-10-11,30649.195510962225
2023-10-12,30678.5516335551
2023-10-13,30707.907756147975
2023-10-14,30737.26387874085
2023-10-15,30766.620001333726
2023-10-16,30795.9761239266
2023-10-17,30825.332246519476
2023-10-18,30854.68836911235
2023-10-19,30884.044491705226
2023-10-20,30913.4006142981
2023-10-21,30942.756736890977
2023-10-22,30972.112859483852
2023-10-23,31001.468982076727
2023-10-24,31030.825104669602
2023-10-25,31060.181227262477
2023-10-26,31089.537349855353
2023-10-27,31118.893472448228
2023-10-28,31148.249595041103
2023-10-29,31177.60571763398
2023-10-30,31206.961840226853
2023-10-31,31236.31796281973
2023-11-01,31265.674085412604
2023-11-02,31295.03020800548
2023-11-03,31324.386330598354
2023-11-04,31353.74245319123
2023-11-05,31383.098575784104
2023-11-06,31412.45469837698
2023-11-07,31441.810820969855
2023-11-08,31471.16694356273
2023-11-09,31500.523066155605
2023-11-10,31529.87918874848
2023-11-11,31559.235311341356
2023-11-12,31588.59143393423
2023-11-13,31617.947556527106
2023-11-14,31647.30367911998
2023-11-15,31676.659801712856
2023-11-16,31706.01592430573
2023-11-17,31735.372046898607
2023-11-18,31764.728169491482
2023-11-19,31794.084292084357
2023-11-20,31823.440414677232
2023-11-21,31852.796537270107
2023-11-22,31882.152659862983
2023-11-23,31911.508782455858
2023-11-24,31940.864905048733
2023-11-25,31970.221027641608
2023-11-26,31999.577150234483
2023-11-27,32028.93327282736
2023-11-28,32058.289395420234
2023-11-29,32087.64551801311
2023-11-30,32117.001640605984
2023-12-01,32146.35776319886
2023-12-02,32175.713885791734
2023-12-03,32205.07000838461
2023-12-04,32234.426130977485
2023-12-05,32263.78225357036
2023-12-06,32293.138376163235
2023-12-07,32322.49449875611
2023-12-08,32351.850621348985
2023-12-09,32381.20674394186
2023-12-10,32410.562866534736
2023-12-11,32439.91898912761
2023-12-12,32469.275111720486
2023-12-13,32498.63123431336
2023-12-14,32527.987356906237
2023-12-15,32557.34347949911
2023-12-16,32586.699602091987
2023-12-17,32616.055724684862
2023-12-18,32645.411847277737
2023-12-19,32674.767969870612
2023-12-20,32704.124092463488
2023-12-21,32733.480215056363
2023-12-22,32762.836337649238
2023-12-23,32792.19246024211
2023-12-24,32821.54858283499
2023-12-25,32850.90470542787
2023-12-26,32880.26082802075
2023-12-27,32909.61695061363
2023-12-28,32938.97307320651
2023-12-29,32968.329195799386
2023-12-30,32997.685318392265
2023-12-31,33027.041440985144
