,Close_TES
2023-05-27,26763.39194820921
2023-05-28,27166.482880707845
2023-05-29,27413.452656262507
2023-05-30,27614.01903615649
2023-05-31,27215.06389812067
2023-06-01,27196.71895756078
2023-06-02,27168.829984643133
2023-06-03,27290.44417745286
2023-06-04,27655.50466091133
2023-06-05,27475.74463448611
2023-06-06,27312.24661605659
2023-06-07,26825.366597612552
2023-06-08,26719.681927487647
2023-06-09,26657.719537271943
2023-06-10,26523.643424970225
2023-06-11,26701.18800624967
2023-06-12,26822.00669453374
2023-06-13,26854.00306538426
2023-06-14,26994.0970675494
2023-06-15,27425.03400186644
2023-06-16,27014.77902701567
2023-06-17,26943.109364697142
2023-06-18,26483.809561091533
2023-06-19,26753.72253004373
2023-06-20,26920.195161863146
2023-06-21,27817.540638590526
2023-06-22,28140.155384462712
2023-06-23,28045.550614893575
2023-06-24,28354.38558759205
2023-06-25,28114.930904758872
2023-06-26,28658.543598566892
2023-06-27,29061.634531065527
2023-06-28,29308.60430662019
2023-06-29,29509.170686514175
2023-06-30,29110.21554847835
2023-07-01,29091.870607918467
2023-07-02,29063.981635000815
2023-07-03,29185.595827810543
2023-07-04,29550.656311269016
2023-07-05,29370.89628484379
2023-07-06,29207.398266414275
2023-07-07,28720.518247970234
2023-07-08,28614.833577845333
2023-07-09,28552.87118762963
2023-07-10,28418.795075327907
2023-07-11,28596.339656607357
2023-07-12,28717.15834489142
2023-07-13,28749.154715741945
2023-07-14,28889.24871790708
2023-07-15,29320.18565222412
2023-07-16,28909.93067737335
2023-07-17,28838.261015054824
2023-07-18,28378.96121144922
2023-07-19,28648.874180401413
2023-07-20,28815.346812220832
2023-07-21,29712.69228894821
2023-07-22,30035.307034820395
2023-07-23,29940.70226525126
2023-07-24,30249.53723794973
2023-07-25,30010.082555116558
2023-07-26,30553.695248924574
2023-07-27,30956.786181423213
2023-07-28,31203.75595697787
2023-07-29,31404.322336871857
2023-07-30,31005.367198836033
2023-07-31,30987.02225827615
2023-08-01,30959.1332853585
2023-08-02,31080.747478168225
2023-08-03,31445.8079616267
2023-08-04,31266.047935201474
2023-08-05,31102.549916771957
2023-08-06,30615.66989832792
2023-08-07,30509.985228203015
2023-08-08,30448.02283798731
2023-08-09,30313.94672568559
2023-08-10,30491.49130696504
2023-08-11,30612.309995249107
2023-08-12,30644.306366099627
2023-08-13,30784.400368264767
2023-08-14,31215.337302581804
2023-08-15,30805.082327731037
2023-08-16,30733.41266541251
2023-08-17,30274.1128618069
2023-08-18,30544.025830759096
2023-08-19,30710.498462578515
2023-08-20,31607.843939305894
2023-08-21,31930.458685178077
2023-08-22,31835.853915608943
2023-08-23,32144.688888307413
2023-08-24,31905.23420547424
2023-08-25,32448.84689928226
2023-08-26,32851.937831780895
2023-08-27,33098.90760733556
2023-08-28,33299.47398722954
2023-08-29,32900.51884919372
2023-08-30,32882.173908633835
2023-08-31,32854.28493571618
2023-09-01,32975.89912852591
2023-09-02,33340.959611984385
2023-09-03,33161.19958555916
2023-09-04,32997.70156712965
2023-09-05,32510.8215486856
2023-09-06,32405.136878560697
2023-09-07,32343.174488344994
2023-09-08,32209.098376043275
2023-09-09,32386.642957322725
2023-09-10,32507.461645606785
2023-09-11,32539.45801645731
2023-09-12,32679.55201862245
2023-09-13,33110.48895293949
2023-09-14,32700.233978088723
2023-09-15,32628.56431577019
2023-09-16,32169.264512164584
2023-09-17,32439.17748111678
2023-09-18,32605.6501129362
2023-09-19,33502.99558966358
2023-09-20,33825.610335535755
2023-09-21,33731.005565966625
2023-09-22,34039.8405386651
2023-09-23,33800.385855831926
2023-09-24,34343.99854963994
2023-09-25,34747.08948213858
2023-09-26,34994.05925769324
2023-09-27,35194.625637587225
2023-09-28,34795.67049955141
2023-09-29,34777.32555899151
2023-09-30,34749.43658607387
2023-10-01,34871.05077888359
2023-10-02,35236.11126234207
2023-10-03,35056.35123591684
2023-10-04,34892.853217487325
2023-10-05,34405.973199043285
2023-10-06,34300.28852891838
2023-10-07,34238.32613870268
2023-10-08,34104.250026400965
2023-10-09,34281.79460768041
2023-10-10,34402.61329596447
2023-10-11,34434.609666815
2023-10-12,34574.70366898013
2023-10-13,35005.64060329717
2023-10-14,34595.3856284464
2023-10-15,34523.71596612788
2023-10-16,34064.41616252227
2023-10-17,34334.32913147447
2023-10-18,34500.801763293886
2023-10-19,35398.14724002126
2023-10-20,35720.76198589344
2023-10-21,35626.15721632431
2023-10-22,35934.99218902278
2023-10-23,35695.537506189605
2023-10-24,36239.150199997624
2023-10-25,36642.24113249627
2023-10-26,36889.210908050925
2023-10-27,37089.77728794491
2023-10-28,36690.82214990909
2023-10-29,36672.4772093492
2023-10-30,36644.588236431555
2023-10-31,36766.202429241275
2023-11-01,37131.26291269975
2023-11-02,36951.502886274524
2023-11-03,36788.00486784501
2023-11-04,36301.12484940097
2023-11-05,36195.44017927607
2023-11-06,36133.477789060365
2023-11-07,35999.40167675864
2023-11-08,36176.94625803809
2023-11-09,36297.76494632215
2023-11-10,36329.76131717268
2023-11-11,36469.85531933781
2023-11-12,36900.79225365486
2023-11-13,36490.537278804084
2023-11-14,36418.867616485564
2023-11-15,35959.567812879955
2023-11-16,36229.48078183215
2023-11-17,36395.953413651565
2023-11-18,37293.298890378945
2023-11-19,37615.91363625113
2023-11-20,37521.30886668199
2023-11-21,37830.143839380464
2023-11-22,37590.68915654729
2023-11-23,38134.30185035531
2023-11-24,38537.39278285395
2023-11-25,38784.36255840861
2023-11-26,38984.92893830259
2023-11-27,38585.97380026677
2023-11-28,38567.628859706885
2023-11-29,38539.73988678923
2023-11-30,38661.354079598954
2023-12-01,39026.414563057435
2023-12-02,38846.65453663221
2023-12-03,38683.1565182027
2023-12-04,38196.27649975866
2023-12-05,38090.59182963375
2023-12-06,38028.629439418044
2023-12-07,37894.55332711633
2023-12-08,38072.09790839578
2023-12-09,38192.91659667983
2023-12-10,38224.91296753036
2023-12-11,38365.006969695496
2023-12-12,38795.94390401254
2023-12-13,38385.68892916177
2023-12-14,38314.01926684325
2023-12-15,37854.719463237634
2023-12-16,38124.632432189836
2023-12-17,38291.10506400925
2023-12-18,39188.45054073662
2023-12-19,39511.065286608806
2023-12-20,39416.460517039675
2023-12-21,39725.29548973815
2023-12-22,39485.84080690498
2023-12-23,40029.453500712996
2023-12-24,40432.54443321163
2023-12-25,40679.51420876629
2023-12-26,40880.080588660276
2023-12-27,40481.12545062446
2023-12-28,40462.780510064564
2023-12-29,40434.89153714692
2023-12-30,40556.50572995664
2023-12-31,40921.56621341512
