,High_TES
2023-05-27,26409.33249456357
2023-05-28,26364.041679932085
2023-05-29,26353.025358361614
2023-05-30,26464.48020652502
2023-05-31,26076.211019220696
2023-06-01,25809.063665094713
2023-06-02,25997.907101396486
2023-06-03,26118.611256621753
2023-06-04,26428.66253648622
2023-06-05,26418.04110137848
2023-06-06,26079.461933659444
2023-06-07,25930.663472469183
2023-06-08,25625.274360253206
2023-06-09,26473.513434224253
2023-06-10,26622.421820143492
2023-06-11,26937.000522592472
2023-06-12,27628.00598279246
2023-06-13,28080.29357309368
2023-06-14,28529.26830569128
2023-06-15,28949.03386917352
2023-06-16,29283.2695799481
2023-06-17,29576.83816992417
2023-06-18,29492.006563288713
2023-06-19,29267.933985212785
2023-06-20,29191.575715204403
2023-06-21,28898.597663725974
2023-06-22,28932.81423568933
2023-06-23,28635.700708050146
2023-06-24,28297.29791574706
2023-06-25,28650.977870389306
2023-06-26,28240.704639484513
2023-06-27,28195.413824853025
2023-06-28,28184.397503282562
2023-06-29,28295.85235144596
2023-06-30,27907.583164141637
2023-07-01,27640.435810015657
2023-07-02,27829.279246317426
2023-07-03,27949.983401542697
2023-07-04,28260.03468140716
2023-07-05,28249.41324629942
2023-07-06,27910.834078580385
2023-07-07,27762.035617390124
2023-07-08,27456.64650517415
2023-07-09,28304.885579145193
2023-07-10,28453.793965064433
2023-07-11,28768.372667513413
2023-07-12,29459.378127713404
2023-07-13,29911.665718014625
2023-07-14,30360.64045061222
2023-07-15,30780.406014094464
2023-07-16,31114.64172486904
2023-07-17,31408.210314845113
2023-07-18,31323.378708209653
2023-07-19,31099.306130133726
2023-07-20,31022.947860125347
2023-07-21,30729.969808646914
2023-07-22,30764.186380610274
2023-07-23,30467.072852971087
2023-07-24,30128.670060668002
2023-07-25,30482.35001531025
2023-07-26,30072.076784405454
2023-07-27,30026.78596977397
2023-07-28,30015.769648203503
2023-07-29,30127.2244963669
2023-07-30,29738.955309062585
2023-07-31,29471.807954936598
2023-08-01,29660.65139123837
2023-08-02,29781.355546463637
2023-08-03,30091.4068263281
2023-08-04,30080.785391220365
2023-08-05,29742.20622350133
2023-08-06,29593.40776231107
2023-08-07,29288.01865009509
2023-08-08,30136.257724066138
2023-08-09,30285.166109985374
2023-08-10,30599.744812434357
2023-08-11,31290.750272634345
2023-08-12,31743.037862935565
2023-08-13,32192.012595533164
2023-08-14,32611.778159015405
2023-08-15,32946.01386978998
2023-08-16,33239.582459766054
2023-08-17,33154.750853130594
2023-08-18,32930.67827505467
2023-08-19,32854.32000504629
2023-08-20,32561.34195356786
2023-08-21,32595.558525531214
2023-08-22,32298.444997892027
2023-08-23,31960.042205588943
2023-08-24,32313.72216023119
2023-08-25,31903.448929326398
2023-08-26,31858.15811469491
2023-08-27,31847.141793124443
2023-08-28,31958.596641287844
2023-08-29,31570.327453983526
2023-08-30,31303.18009985754
2023-08-31,31492.02353615931
2023-09-01,31612.727691384578
2023-09-02,31922.778971249045
2023-09-03,31912.15753614131
2023-09-04,31573.57836842227
2023-09-05,31424.779907232012
2023-09-06,31119.390795016036
2023-09-07,31967.62986898708
2023-09-08,32116.53825490632
2023-09-09,32431.116957355298
2023-09-10,33122.122417555285
2023-09-11,33574.41000785651
2023-09-12,34023.3847404541
2023-09-13,34443.150303936345
2023-09-14,34777.38601471092
2023-09-15,35070.954604686995
2023-09-16,34986.122998051535
2023-09-17,34762.05041997561
2023-09-18,34685.69214996723
2023-09-19,34392.714098488796
2023-09-20,34426.93067045216
2023-09-21,34129.81714281297
2023-09-22,33791.414350509884
2023-09-23,34145.09430515213
2023-09-24,33734.82107424734
2023-09-25,33689.53025961585
2023-09-26,33678.513938045384
2023-09-27,33789.96878620879
2023-09-28,33401.699598904466
2023-09-29,33134.55224477848
2023-09-30,33323.39568108025
2023-10-01,33444.099836305526
2023-10-02,33754.15111616999
2023-10-03,33743.52968106225
2023-10-04,33404.95051334321
2023-10-05,33256.15205215295
2023-10-06,32950.762939936976
2023-10-07,33799.00201390802
2023-10-08,33947.91039982726
2023-10-09,34262.48910227624
2023-10-10,34953.494562476226
2023-10-11,35405.78215277745
2023-10-12,35854.75688537505
2023-10-13,36274.522448857286
2023-10-14,36608.75815963186
2023-10-15,36902.326749607935
2023-10-16,36817.495142972475
2023-10-17,36593.42256489655
2023-10-18,36517.06429488817
2023-10-19,36224.086243409736
2023-10-20,36258.3028153731
2023-10-21,35961.18928773391
2023-10-22,35622.78649543083
2023-10-23,35976.46645007307
2023-10-24,35566.19321916828
2023-10-25,35520.9024045368
2023-10-26,35509.88608296633
2023-10-27,35621.34093112973
2023-10-28,35233.07174382541
2023-10-29,34965.92438969942
2023-10-30,35154.767826001196
2023-10-31,35275.47198122647
2023-11-01,35585.52326109093
2023-11-02,35574.901825983194
2023-11-03,35236.32265826415
2023-11-04,35087.52419707389
2023-11-05,34782.13508485792
2023-11-06,35630.37415882896
2023-11-07,35779.2825447482
2023-11-08,36093.86124719718
2023-11-09,36784.866707397174
2023-11-10,37237.15429769839
2023-11-11,37686.12903029599
2023-11-12,38105.89459377823
2023-11-13,38440.13030455281
2023-11-14,38733.698894528876
2023-11-15,38648.86728789342
2023-11-16,38424.79470981749
2023-11-17,38348.43643980911
2023-11-18,38055.458388330684
2023-11-19,38089.67496029404
2023-11-20,37792.56143265485
2023-11-21,37454.15864035177
2023-11-22,37807.83859499401
2023-11-23,37397.56536408923
2023-11-24,37352.27454945774
2023-11-25,37341.25822788727
2023-11-26,37452.71307605067
2023-11-27,37064.44388874635
2023-11-28,36797.29653462037
2023-11-29,36986.139970922144
2023-11-30,37106.84412614741
2023-12-01,37416.89540601187
2023-12-02,37406.273970904134
2023-12-03,37067.69480318509
2023-12-04,36918.89634199484
2023-12-05,36613.50722977886
2023-12-06,37461.746303749904
2023-12-07,37610.65468966914
2023-12-08,37925.23339211813
2023-12-09,38616.238852318114
2023-12-10,39068.52644261933
2023-12-11,39517.50117521693
2023-12-12,39937.266738699174
2023-12-13,40271.50244947375
2023-12-14,40565.071039449824
2023-12-15,40480.239432814364
2023-12-16,40256.16685473843
2023-12-17,40179.80858473005
2023-12-18,39886.83053325163
2023-12-19,39921.04710521498
2023-12-20,39623.93357757579
2023-12-21,39285.53078527271
2023-12-22,39639.21073991496
2023-12-23,39228.93750901017
2023-12-24,39183.64669437868
2023-12-25,39172.63037280821
2023-12-26,39284.08522097161
2023-12-27,38895.816033667295
2023-12-28,38628.66867954131
2023-12-29,38817.512115843085
2023-12-30,38938.21627106835
2023-12-31,39248.26755093281
