,Low_TES
2023-05-27,26363.242769157823
2023-05-28,26800.04487943457
2023-05-29,27072.485465394326
2023-05-30,27106.424343282917
2023-05-31,26811.10823437673
2023-06-01,26599.425020130035
2023-06-02,26576.372340106747
2023-06-03,27059.584457367404
2023-06-04,27512.362572018552
2023-06-05,27604.925913306106
2023-06-06,27442.681159904027
2023-06-07,26484.614008653985
2023-06-08,26031.08481244978
2023-06-09,25765.390420136842
2023-06-10,26115.122370099845
2023-06-11,26350.48752997604
2023-06-12,27156.833410820516
2023-06-13,26805.969955007506
2023-06-14,26381.095310165172
2023-06-15,26106.050544110596
2023-06-16,26189.651184249527
2023-06-17,26342.2948059392
2023-06-18,26656.353175134653
2023-06-19,26688.474903055594
2023-06-20,26610.921731666393
2023-06-21,27089.45981751704
2023-06-22,27549.42035009448
2023-06-23,27566.83404094465
2023-06-24,27761.217409735105
2023-06-25,27657.229096681276
2023-06-26,28120.054766090863
2023-06-27,28556.85687636761
2023-06-28,28829.297462327366
2023-06-29,28863.236340215957
2023-06-30,28567.92023130977
2023-07-01,28356.23701706307
2023-07-02,28333.184337039784
2023-07-03,28816.39645430044
2023-07-04,29269.174568951592
2023-07-05,29361.737910239146
2023-07-06,29199.493156837067
2023-07-07,28241.426005587025
2023-07-08,27787.89680938282
2023-07-09,27522.202417069882
2023-07-10,27871.934367032885
2023-07-11,28107.29952690908
2023-07-12,28913.645407753553
2023-07-13,28562.781951940542
2023-07-14,28137.90730709821
2023-07-15,27862.862541043633
2023-07-16,27946.463181182567
2023-07-17,28099.10680287224
2023-07-18,28413.165172067693
2023-07-19,28445.286899988634
2023-07-20,28367.733728599433
2023-07-21,28846.27181445008
2023-07-22,29306.23234702752
2023-07-23,29323.64603787769
2023-07-24,29518.02940666814
2023-07-25,29414.041093614313
2023-07-26,29876.866763023903
2023-07-27,30313.66887330065
2023-07-28,30586.109459260406
2023-07-29,30620.048337148997
2023-07-30,30324.73222824281
2023-07-31,30113.04901399611
2023-08-01,30089.996333972824
2023-08-02,30573.20845123348
2023-08-03,31025.98656588463
2023-08-04,31118.549907172182
2023-08-05,30956.305153770103
2023-08-06,29998.238002520062
2023-08-07,29544.708806315855
2023-08-08,29279.014414002922
2023-08-09,29628.746363965925
2023-08-10,29864.11152384212
2023-08-11,30670.457404686593
2023-08-12,30319.593948873582
2023-08-13,29894.71930403125
2023-08-14,29619.674537976673
2023-08-15,29703.275178115604
2023-08-16,29855.918799805277
2023-08-17,30169.977169000733
2023-08-18,30202.098896921674
2023-08-19,30124.545725532473
2023-08-20,30603.08381138312
2023-08-21,31063.04434396056
2023-08-22,31080.45803481073
2023-08-23,31274.84140360118
2023-08-24,31170.853090547353
2023-08-25,31633.67875995694
2023-08-26,32070.480870233685
2023-08-27,32342.921456193442
2023-08-28,32376.860334082034
2023-08-29,32081.544225175847
2023-08-30,31869.861010929148
2023-08-31,31846.808330905864
2023-09-01,32330.02044816652
2023-09-02,32782.79856281767
2023-09-03,32875.36190410522
2023-09-04,32713.117150703143
2023-09-05,31755.049999453102
2023-09-06,31301.520803248895
2023-09-07,31035.82641093596
2023-09-08,31385.558360898965
2023-09-09,31620.92352077516
2023-09-10,32427.269401619633
2023-09-11,32076.405945806622
2023-09-12,31651.53130096429
2023-09-13,31376.486534909713
2023-09-14,31460.087175048644
2023-09-15,31612.730796738317
2023-09-16,31926.78916593377
2023-09-17,31958.91089385471
2023-09-18,31881.35772246551
2023-09-19,32359.895808316156
2023-09-20,32819.856340893595
2023-09-21,32837.27003174377
2023-09-22,33031.65340053422
2023-09-23,32927.66508748039
2023-09-24,33390.49075688998
2023-09-25,33827.29286716673
2023-09-26,34099.73345312648
2023-09-27,34133.67233101508
2023-09-28,33838.356222108894
2023-09-29,33626.67300786219
2023-09-30,33603.6203278389
2023-10-01,34086.832445099564
2023-10-02,34539.61055975071
2023-10-03,34632.17390103826
2023-10-04,34469.92914763618
2023-10-05,33511.86199638614
2023-10-06,33058.33280018193
2023-10-07,32792.638407869
2023-10-08,33142.370357832
2023-10-09,33377.73551770819
2023-10-10,34184.08139855267
2023-10-11,33833.217942739655
2023-10-12,33408.34329789733
2023-10-13,33133.298531842745
2023-10-14,33216.899171981684
2023-10-15,33369.54279367135
2023-10-16,33683.60116286681
2023-10-17,33715.72289078774
2023-10-18,33638.16971939855
2023-10-19,34116.70780524919
2023-10-20,34576.66833782664
2023-10-21,34594.082028676814
2023-10-22,34788.46539746726
2023-10-23,34684.47708441343
2023-10-24,35147.30275382302
2023-10-25,35584.10486409977
2023-10-26,35856.54545005952
2023-10-27,35890.484327948114
2023-10-28,35595.16821904193
2023-10-29,35383.48500479523
2023-10-30,35360.43232477194
2023-10-31,35843.6444420326
2023-11-01,36296.42255668375
2023-11-02,36388.985897971295
2023-11-03,36226.74114456922
2023-11-04,35268.67399331918
2023-11-05,34815.14479711497
2023-11-06,34549.45040480204
2023-11-07,34899.182354765035
2023-11-08,35134.547514641235
2023-11-09,35940.893395485706
2023-11-10,35590.0299396727
2023-11-11,35165.155294830365
2023-11-12,34890.11052877579
2023-11-13,34973.71116891473
2023-11-14,35126.3547906044
2023-11-15,35440.41315979985
2023-11-16,35472.53488772079
2023-11-17,35394.98171633159
2023-11-18,35873.519802182236
2023-11-19,36333.480334759675
2023-11-20,36350.89402560985
2023-11-21,36545.2773944003
2023-11-22,36441.28908134647
2023-11-23,36904.11475075606
2023-11-24,37340.916861032805
2023-11-25,37613.35744699256
2023-11-26,37647.29632488115
2023-11-27,37351.98021597497
2023-11-28,37140.297001728264
2023-11-29,37117.24432170498
2023-11-30,37600.45643896564
2023-12-01,38053.23455361679
2023-12-02,38145.79789490433
2023-12-03,37983.55314150226
2023-12-04,37025.485990252215
2023-12-05,36571.95679404801
2023-12-06,36306.26240173508
2023-12-07,36655.99435169808
2023-12-08,36891.35951157427
2023-12-09,37697.70539241875
2023-12-10,37346.841936605735
2023-12-11,36921.96729176341
2023-12-12,36646.922525708826
2023-12-13,36730.523165847764
2023-12-14,36883.16678753743
2023-12-15,37197.225156732886
2023-12-16,37229.34688465383
2023-12-17,37151.793713264626
2023-12-18,37630.33179911527
2023-12-19,38090.29233169271
2023-12-20,38107.70602254289
2023-12-21,38302.089391333335
2023-12-22,38198.10107827951
2023-12-23,38660.9267476891
2023-12-24,39097.72885796585
2023-12-25,39370.169443925595
2023-12-26,39404.108321814194
2023-12-27,39108.79221290801
2023-12-28,38897.10899866131
2023-12-29,38874.05631863802
2023-12-30,39357.26843589868
2023-12-31,39810.04655054983
